,location,id
0,Thompson St between Grand St and Sixth Ave,1
1,Park Avenue  between E 135th St and E 138th St (east side),2
2,Park Avenue  between E 135th St and E 138th St (west side),3
3,Fourth Avenue between Third St and Sixth St,4
4,North 6th Street between Berry St and Wythe St,5
5,Utica Avenue between Winthrop St and Rutland Blvd,6
6,Tenth Avenue between W 26th St and W 28th St,7
7,Ninth Avenue between W 42nd St and W 41st St,8
8,Eighth Avenue between W 46th St and W 47th St  (west side),9
9,Sixth Avenue between W 22nd St and W 23th St,10
10,Sixth Avenue between W 38th St and W 39th St,11
11,Sixth Avenue between W 39th St and W 40th St,12
12,Sixth Avenue between W 55th St and W 56th St,13
13,Sixth Avenue between W 8th St and W 9th St,14
14,Broadway between W 48th St and W 47th St,15
15,Third Avenue between E 14th St and E 15th St  (west side),16
16,Canal St between E Broadway and Essex St,17
17,E 16th St between Fifth Ave and Union Square West north side,18
18,W 55th St between Tenth Ave and Eleventh Ave,19
19,E 16th St between Fifth Ave and Union Square West south side,20
20,E 17th St between Irving Place and Park Ave South,21
21,E23rd St between First Ave and Second Ave,22
22,E 27th St between Park Ave S and Madison Ave,23
23,E 28th St between Fifth Ave and Madison Ave,24
24,E 28th St between Park Ave S and Lexington Ave,25
25,E 29th St between Madison Aveand Fifth Ave,26
26,E 77th St between First Ave and Second Ave,27
27,E 78th St between Lexington Ave and Third Ave,28
29,E 86th St between Henderson Place and York Ave,29
30,Grand St between Forsythe St and Chrystie St,30
31,Lexington Ave between E 28th St and E 27th St,31
32,Lexington Ave between E 25th St and E 26th St,32
33,Lexington Ave between E 26th St and E 24th St,33
34,Madison Ave between E 26th St and E 27th St,34
35,Church St between Franklin St and White St  (east side),35
36,South St between Wall St and Gouveneur Lane,36
37,W 16th St between Ninth Ave and Eight Ave,37
38,W 21st St between Sixth Ave and Seventh Ave,38
39,W 26th St between Seventh Ave and Sixth Ave,39
40,W 31st St between Fifth Ave and Broadway,40
41,W 41st St between Eighth Ave and Ninth Ave,41
42,W 44th St between Eleventh Ave and Tenth Ave,42
43,W 46th St between Ninth Ave and Tenth Ave,43
44,W 46th St between Eleventh Ave and Tenth Ave,44
45,W 50th St between Ninth Ave and Tenth Ave,45
46,W 52nd St between Twelfth Ave and Eleventh Ave,46
47,36th St between Skillman Ave and 43rd Ave,47
48,43rd Avenue between 36th St and 37th St (site unconfirmed by DOT),48
49,45th Ave between Jackson Ave and 23rd St,49
50,45th Ave between 45th Ave Rdwy and 23rd St,50
51,55th St between Queens Blvd and Roosevelt Ave,51
52,64th St between 34th Ave and 35th Ave,52
53,Hunters Point Ave between 27th St and 30th St (exact point unclear),53
54,Pearson St between Jackson Ave and Dead End,54
55,Queens Blvd between 55th St and 54th St,55
56,Skillman Ave between 37th St and 36th St,56
57,Van Dam St between Queens Blvd and Skillman Ave,57
58,43rd Avenue between 11th Street and 12th Street (north side),58
59,Queens Boulevard between 50th Street and 51st Street (south side),59
60,Park Row between Ann Street and Beekman Street (south side),60
61,East 26th Street between Third Avenue and Second Avenue (south side),61
62,West 39th Street between Eighth Avenue and Ninth Avenue (south side),62
